CXCR4_low_MK	CXCR4_high_MK
1.028422991964766311e+02 2.348057100029411401e+02
6.113961030678927955e+01 3.236717339071551010e+02
1.293483977907960707e+02 3.101563608820393370e+02
1.960396685803620471e+02 8.904780172128657512e+01
2.258965849131724610e+02 1.557403235588198527e+02
4.797771785649585041e+01 2.010018427434995090e+02
1.837525167615192174e+02 5.386488268416781011e+01
3.126459979120788262e+02 5.550000000000000000e+01
2.179223219186296490e+02 4.698822604628585964e+02
5.500000000000000000e+00 2.110883891975404083e+02
4.782891812864647818e+01 3.040697310564107170e+02
9.124433316206372524e+01 4.322700541665674336e+02
3.044462493662367706e+02 1.732754249034830138e+02
0.000000000000000000e+00 2.675000000000000000e+02
9.550000000000000000e+01 8.681965069345042707e+01
7.550000000000000000e+01 6.780674103275883908e+02
1.929379696988279704e+02 0.000000000000000000e+00
5.450000000000000000e+01 3.363037780190770150e+02
4.346737973824481571e+01 3.289407941095965953e+02
2.185203610530034268e+02 5.580951894845300387e+01
1.730591068557823462e+02 5.158326913195983821e+01
2.150000000000000000e+01 2.078806074713161252e+02
0.000000000000000000e+00 2.438331078032346113e+02
8.500000000000000000e+00 3.141528067142307918e+02
3.582762530298219339e+00 8.410431227862627566e+02
1.913659330568421524e+02 1.284236418680751513e+02
2.152934801595309580e+02 6.207335035923533724e+02
5.474508712544684386e+01 1.954520143873257041e+02
2.149511439381269327e+02 1.103716084761797021e+02
1.007472759931224573e+02 2.362571988443489772e+02
1.290294643796590606e+02 4.794315304065506211e+02
0.000000000000000000e+00 1.073954048174899754e+02
1.256600561797629609e+02 1.306803288778038734e+02
2.539254277562972106e+02 1.515000000000000000e+02
1.500057375969835505e+02 9.321311299921238458e+01
2.710415873317986097e+02 6.857826454299134866e+02
7.450000000000000000e+01 6.478691259584821864e+02
2.283527669316527806e+02 1.989000993048414614e+02
1.216974234837422131e+02 7.124377595287578515e+02
0.000000000000000000e+00 1.330175265417724404e+02
0.000000000000000000e+00 2.264825320848732417e+02
4.550000000000000000e+01 1.966808223700263909e+02
1.441049112410631210e+02 2.097003770024926155e+02
1.848232500251904185e+02 1.764972066821155749e+02
2.980411785429743645e+02 2.505019762768662588e+02
2.685295186875407580e+02 1.587358520925169501e+02
1.209908903522846941e+02 7.072407977564766952e+02
1.137497311824848936e+02 1.546782427691568387e+02
1.725028571195338998e+02 1.905647559758124316e+02
2.052715091151816296e+02 4.225423508310672105e+02
8.748888820293313984e+01 1.607727778902533373e+02
4.560405388322277531e+01 3.118962467969361683e+02
2.723213749463701205e+01 7.929954431044843659e+02
